API Function,Risk Level,Usage Count,Risk Scenario,Sample Files,Developer Recommendation
get,MEDIUM,51,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
createUrl,HIGH,37,URL generation - host header influences generated URLs,framework/web/UrlManager.php,Must configure trusted proxy and host validation
elseif,MEDIUM,29,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
to,HIGH,26,URL generation - host header influences generated URLs,framework/web/Response.php,Must configure trusted proxy and host validation
substr,MEDIUM,22,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
toRoute,HIGH,22,URL generation - host header influences generated URLs,framework/web/UrlManager.php,Must configure trusted proxy and host validation
has,MEDIUM,22,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
set,MEDIUM,20,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
InvalidConfigException,MEDIUM,18,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
createObject,MEDIUM,18,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
stdout,MEDIUM,14,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
send,MEDIUM,14,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
is_array,MEDIUM,14,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
str_replace,MEDIUM,11,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
strncmp,MEDIUM,11,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
createAbsoluteUrl,HIGH,11,URL generation - host header influences generated URLs,framework/web/UrlManager.php,Must configure trusted proxy and host validation
in_array,MEDIUM,10,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
add,MEDIUM,10,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
parseRequest,MEDIUM,9,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
ensureScheme,MEDIUM,9,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php; framework/web/UrlManager.php,Recommend configuring protection
current,MEDIUM,9,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
Copyright,MEDIUM,8,Requires manual analysis for specific impact,framework/web/Response.php; framework/console/controllers/ServeController.php,Recommend configuring protection
array_merge,MEDIUM,8,Requires manual analysis for specific impact,framework/web/Response.php; framework/console/controllers/ServeController.php,Recommend configuring protection
unset,MEDIUM,8,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
debug,MEDIUM,8,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
validate,MEDIUM,8,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
parseAcceptHeader,MEDIUM,8,Response handling - Host header affects response content,framework/web/Request.php,Recommend configuring protection
explode,MEDIUM,7,Requires manual analysis for specific impact,framework/web/Request.php; framework/console/controllers/ServeController.php,Recommend configuring protection
parameters,MEDIUM,7,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
redirect,HIGH,7,Redirects - host header affects redirect destinations,framework/web/Response.php,Must configure trusted proxy and host validation
URL,HIGH,7,URL generation - host header influences generated URLs,framework/web/Request.php; framework/web/Response.php,Must configure trusted proxy and host validation
normalizeRoute,HIGH,7,URL generation - host header influences generated URLs,framework/web/UrlRule.php; framework/web/UrlManager.php,Must configure trusted proxy and host validation
validateCsrfTokenInternal,MEDIUM,7,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
